id,date,description,amount,type,account,category,subcategory,is_pnl,confidence,reasoning,review_required,review_reason
T1051,2026-01-01,Rent (Landlord),9000.0,debit,Operating Checking (ACH),Operating Expenses,Rent & Facilities,True,0.99,Monthly commercial lease payment to landlord.,False,
T1031,2026-01-03,Food inventory purchase - Sysco,4151.25,debit,Operating Checking (ACH/card),Cost of Goods Sold,Food Inventory (COGS),True,0.98,Direct food raw material purchase from Sysco.,False,
T1052,2026-01-04,POS/software subscription (Toast),875.0,debit,Operating Checking (ACH/card),Operating Expenses,Software & POS Subscriptions,True,0.98,Toast restaurant POS platform SaaS licensing.,False,
T1053,2026-01-05,Insurance premium (Next Insurance),1250.0,debit,Operating Checking (ACH),Operating Expenses,Insurance Premium,True,0.98,"Commercial general liability, liquor liability, and property insurance.",False,
T1032,2026-01-06,Food inventory purchase - US Foods,4814.71,debit,Operating Checking (ACH/card),Cost of Goods Sold,Food Inventory (COGS),True,0.98,Direct food raw material purchase from US Foods.,False,
T1041,2026-01-07,Beverage inventory purchase - Southern Glazer's,1779.21,debit,Operating Checking (ACH/card),Cost of Goods Sold,Beverage Inventory (COGS),True,0.98,Bar and liquor inventory restocking from Southern Glazer's.,False,
T1054,2026-01-07,Accounting/bookkeeping (LedgerPro Bookkeeping),650.0,debit,Operating Checking (ACH),Operating Expenses,Professional & Bookkeeping,True,0.98,Monthly professional accounting and reconciliation services.,False,
T1001,2026-01-08,POS batch deposit - food sales week 1 (Toast POS),17513.84,credit,Operating Checking (Bank deposit),Revenue,Dine-In & Takeout Food Sales,True,0.99,Toast POS weekly batch deposit for in-restaurant food sales.,False,
T1002,2026-01-08,POS batch deposit - beverage sales week 1 (Toast POS),5163.62,credit,Operating Checking (Bank deposit),Revenue,Beverage & Bar Sales,True,0.99,"Toast POS weekly batch deposit for bar, wine, and beer sales.",False,
T1003,2026-01-08,Catering invoice payment week 1 (Corporate Catering Client),750.84,credit,Operating Checking (ACH deposit),Revenue,Corporate Catering Revenue,True,0.97,Corporate client catering invoice settlement.,False,
T1044,2026-01-08,To-go packaging and disposables (Restaurant Depot),1043.52,debit,Operating Checking (Card),Cost of Goods Sold,Packaging & To-Go Disposables,True,0.97,"Direct to-go containers, bags, and cutlery for takeout and delivery orders.",False,
T1004,2026-01-09,Delivery marketplace payout week 1 (DoorDash/Uber Eats),4671.96,credit,Operating Checking (ACH deposit),Revenue,Third-Party Delivery Sales,True,0.98,DoorDash and Uber Eats online customer order settlement payouts.,False,
T1005,2026-01-09,Refunds and discounts week 1 (Toast POS),571.3,debit,Operating Checking (POS adjustment),Revenue,Refunds & Customer Discounts,True,0.98,"Contra-revenue deduction for customer meal comps, refunds, and promo discounts.",False,
T1055,2026-01-09,Internet and phone (Comcast Business),420.0,debit,Operating Checking (Card),Operating Expenses,Utilities - Telecom & Internet,True,0.98,Comcast fiber internet for POS terminal uptime and guest WiFi.,False,
T1006,2026-01-10,Delivery platform commission week 1 (DoorDash/Uber Eats),1217.52,debit,Operating Checking (Marketplace deduction),Cost of Goods Sold,Delivery Marketplace Commissions,True,0.99,Interchange and 20-30% marketplace merchant commissions deducted by DoorDash / Uber Eats.,False,
T1033,2026-01-10,Food inventory purchase - Local Produce Co.,2376.81,debit,Operating Checking (ACH/card),Cost of Goods Sold,Food Inventory (COGS),True,0.98,Direct food raw material purchase from Local Produce Co..,False,
